title,artist,old_low,old_high,new_low,new_high,source_url
Taxi,Harry Chapin,G2,C4,B2,A4,https://singingcarrots.com/artist-range?artist=Harry%20Chapin
I Need You to Survive,Hezekiah Walker,G2,D4,G#2,A#3,https://singingcarrots.com/artist-range?artist=Hezekiah%20Walker
Every Praise,Hezekiah Walker,G2,D4,A2,B3,https://singingcarrots.com/artist-range?artist=Hezekiah%20Walker
Cornerstone,Hillsong,G2,D4,C4,A4,https://singingcarrots.com/artist-range?artist=Hillsong
Oceans (Where Feet May Fail),Hillsong United,G2,E4,A3,D5,https://singingcarrots.com/artist-range?artist=Hillsong%20United
What a Beautiful Name,Hillsong Worship,G2,E4,A2,B3,https://singingcarrots.com/artist-range?artist=Hillsong%20Worship
I Believe in You,How to Succeed in Business Without Really Trying,C3,D4,G4,E5,https://singingcarrots.com/artist-range?artist=How%20to%20Succeed%20in%20Business%20Without%20Really%20Trying
Brotherhood of Man,How to Succeed in Business Without Really Trying,C3,D4,C4,D5,https://singingcarrots.com/artist-range?artist=How%20to%20Succeed%20in%20Business%20Without%20Really%20Trying
Collide,Howie Day,A2,D4,F#2,G#4,https://singingcarrots.com/artist-range?artist=Howie%20Day
Demons,Imagine Dragons,A2,D4,D#3,A#4,https://singingcarrots.com/artist-range?artist=Imagine%20Dragons
Radioactive,Imagine Dragons,G2,D4,F#3,B4,https://singingcarrots.com/artist-range?artist=Imagine%20Dragons
Believer,Imagine Dragons,G2,D4,G3,C5,https://singingcarrots.com/artist-range?artist=Imagine%20Dragons
Thunder,Imagine Dragons,A2,D4,E3,G4,https://singingcarrots.com/artist-range?artist=Imagine%20Dragons
Giants in the Sky,Into the Woods,C3,F4,C#4,F#5,https://singingcarrots.com/artist-range?artist=Into%20the%20Woods
Banana Pancakes,Jack Johnson,A2,D4,A2,E4,https://singingcarrots.com/artist-range?artist=Jack%20Johnson
Better Together,Jack Johnson,A2,D4,A#2,C4,https://singingcarrots.com/artist-range?artist=Jack%20Johnson
(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,G2,D4,B2,F#4,https://singingcarrots.com/artist-range?artist=Jackie%20Wilson
To Be Loved,Jackie Wilson,G2,D4,A3,C5,https://singingcarrots.com/artist-range?artist=Jackie%20Wilson
Lonely Teardrops,Jackie Wilson,G2,D4,D#3,C5,https://singingcarrots.com/artist-range?artist=Jackie%20Wilson
The Load-Out / Stay,Jackson Browne,G2,C4,D3,G4,https://singingcarrots.com/artist-range?artist=Jackson%20Browne
Fire and Rain,James Taylor,G2,C4,G2,D4,https://singingcarrots.com/artist-range?artist=James%20Taylor
